id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,call_length,investment,period
171,55,blue-collar,married,primary,NA,-317,yes,no,0,NA,152,0,0
172,56,blue-collar,married,primary,NA,420,yes,no,0,NA,76,0,0
173,54,technician,divorced,secondary,cellular,2749,yes,no,0,NA,341,0,0
174,23,student,single,secondary,cellular,2530,yes,no,3,NA,194,0,0
175,31,management,married,tertiary,cellular,546,no,no,0,NA,147,0,0
176,54,admin.,divorced,secondary,cellular,1383,yes,yes,0,NA,622,0,0
177,34,admin.,married,secondary,cellular,79,yes,no,1,low,193,0,0
178,31,technician,divorced,tertiary,cellular,0,no,no,0,NA,127,0,0
179,54,blue-collar,married,primary,NA,45,yes,no,0,NA,142,0,0
180,76,retired,married,tertiary,cellular,2991,no,no,2,high,195,0,0
181,43,blue-collar,married,secondary,cellular,514,yes,yes,0,NA,34,0,0
182,60,blue-collar,married,primary,cellular,3462,no,no,0,NA,125,0,0
183,29,technician,single,secondary,cellular,938,no,no,0,NA,358,325.53,0
184,41,management,married,tertiary,cellular,1468,yes,no,0,NA,237,515.57,0
185,43,management,married,tertiary,cellular,0,no,no,0,NA,110,0,0
186,34,services,single,primary,NA,654,no,no,0,NA,604,0,0
187,30,unemployed,divorced,secondary,NA,1144,yes,no,0,NA,252,0,0
188,31,management,single,tertiary,cellular,796,no,yes,0,NA,150,0,0
189,45,housemaid,married,secondary,cellular,1623,no,no,0,NA,192,0,0
190,58,retired,married,secondary,cellular,225,no,no,0,NA,122,0,0
191,39,blue-collar,married,secondary,cellular,41,yes,no,0,NA,135,0,0
192,37,blue-collar,divorced,secondary,cellular,33,yes,no,1,low,106,0,0
193,35,self-employed,married,tertiary,cellular,2427,no,no,7,NA,210,727.92,0
194,31,blue-collar,married,secondary,cellular,625,yes,no,0,NA,137,0,0
195,46,services,married,secondary,cellular,244,no,no,0,NA,139,0,0
196,54,services,married,primary,cellular,198,yes,no,0,NA,69,0,0
197,39,technician,married,tertiary,cellular,14,no,no,0,NA,114,0,0
198,42,technician,single,tertiary,telephone,3908,yes,no,0,NA,43,0,0
199,46,blue-collar,married,secondary,telephone,2297,no,no,0,NA,16,0,0
200,30,admin.,married,secondary,cellular,182,yes,yes,1,low,143,0,0
201,31,management,single,tertiary,cellular,0,no,no,0,NA,35,0,0
202,38,management,single,tertiary,cellular,427,yes,no,1,low,253,0,0
203,42,technician,single,secondary,cellular,568,yes,no,2,low,311,0,0
204,52,unemployed,married,secondary,cellular,105,no,no,0,NA,96,0,0
205,56,retired,married,secondary,cellular,0,no,no,0,NA,71,0,0
206,31,services,single,secondary,NA,2038,yes,no,0,NA,148,0,0
207,52,services,married,NA,NA,337,yes,no,0,NA,85,0,0
208,24,student,single,secondary,cellular,139,no,no,0,NA,430,259.77,0
209,51,self-employed,married,NA,cellular,2094,no,no,0,NA,458,682.53,0
210,29,management,married,tertiary,NA,1,yes,yes,0,NA,49,0,0
211,31,services,divorced,primary,cellular,459,yes,no,1,high,623,301.32,0
212,31,blue-collar,married,secondary,cellular,1766,no,yes,0,NA,166,278.01,0
213,32,admin.,married,tertiary,cellular,227,no,no,0,NA,148,0,0
214,36,unemployed,single,secondary,NA,244,yes,no,0,NA,702,0,0
215,31,admin.,single,secondary,NA,-449,yes,no,0,NA,81,0,0
216,43,blue-collar,married,secondary,cellular,1927,yes,no,0,NA,63,0,0
217,33,entrepreneur,single,tertiary,cellular,1623,yes,no,0,NA,291,413.21,0
218,31,management,married,tertiary,cellular,927,no,no,0,NA,100,0,0
219,29,technician,married,secondary,cellular,-910,yes,no,0,NA,260,0,0
220,33,management,married,tertiary,cellular,4570,no,no,0,NA,1258,1142.17,0
221,45,self-employed,married,secondary,NA,845,no,no,0,NA,76,0,0
222,27,admin.,single,secondary,NA,1,yes,no,0,NA,86,0,0
223,50,blue-collar,married,secondary,cellular,2013,no,yes,0,NA,226,0,0
224,30,technician,married,secondary,cellular,2326,no,no,1,high,67,0,0
225,47,blue-collar,married,primary,cellular,43,no,no,0,NA,222,0,0
226,51,retired,divorced,primary,cellular,43,no,no,0,NA,212,0,0
227,61,housemaid,married,primary,cellular,2580,no,no,7,NA,270,759.59,0
228,50,admin.,married,secondary,cellular,663,yes,no,0,NA,630,0,0
229,58,blue-collar,married,primary,cellular,5188,yes,no,0,NA,606,1276.96,0
230,52,entrepreneur,married,primary,telephone,657,no,no,1,NA,91,0,0
231,29,technician,single,secondary,cellular,18,no,no,0,NA,206,0,0
232,53,technician,single,secondary,cellular,6164,yes,no,0,NA,101,0,0
233,44,technician,married,tertiary,cellular,1933,no,no,0,NA,462,656.16,0
234,54,management,married,tertiary,cellular,2819,no,no,0,NA,123,0,0
235,56,blue-collar,married,secondary,cellular,1316,no,no,0,NA,76,0,0
236,33,technician,married,secondary,cellular,668,yes,yes,4,NA,771,0,0
237,33,blue-collar,single,secondary,NA,855,no,no,0,NA,99,0,0
238,47,entrepreneur,divorced,secondary,cellular,186,no,no,0,NA,112,0,0
239,54,housemaid,divorced,primary,NA,1194,no,no,0,NA,58,0,0
240,58,blue-collar,divorced,secondary,NA,314,no,no,0,NA,67,0,0
241,50,technician,married,secondary,telephone,0,no,no,0,NA,295,0,0
242,39,management,married,tertiary,cellular,-468,yes,yes,0,NA,88,0,0
243,50,management,married,secondary,NA,628,no,yes,0,NA,367,0,0
244,35,blue-collar,married,primary,cellular,298,yes,no,2,low,135,0,0
245,38,technician,single,secondary,NA,12926,yes,no,0,NA,280,0,0
246,45,blue-collar,divorced,primary,cellular,452,yes,no,0,NA,96,0,0
247,36,blue-collar,married,secondary,NA,0,yes,no,0,NA,195,0,0
248,33,technician,married,secondary,cellular,6947,yes,no,0,NA,250,0,0
249,33,admin.,divorced,secondary,cellular,-417,no,no,5,low,337,0,0
250,36,blue-collar,married,secondary,cellular,0,yes,no,1,low,273,0,0
251,62,technician,married,NA,telephone,4727,yes,no,4,NA,80,0,0
252,54,technician,married,secondary,cellular,1076,no,no,0,NA,338,0,0
253,57,retired,married,secondary,cellular,975,no,no,0,NA,166,0,0
254,35,management,single,tertiary,cellular,181,yes,no,0,NA,130,0,0
255,38,blue-collar,single,secondary,cellular,340,no,yes,0,NA,260,0,0
256,41,technician,married,tertiary,cellular,91,no,yes,0,NA,204,0,0
257,45,management,divorced,tertiary,cellular,6572,yes,no,0,NA,42,0,0
258,28,blue-collar,married,primary,NA,-55,yes,no,0,NA,361,0,0
259,39,technician,married,secondary,cellular,508,yes,no,5,low,598,0,0
260,55,management,divorced,tertiary,telephone,481,yes,no,0,NA,79,0,0
261,53,technician,married,secondary,telephone,4807,no,no,0,NA,255,0,0
262,46,technician,married,primary,cellular,718,yes,no,1,low,80,0,0
263,50,management,married,tertiary,cellular,2570,no,no,0,NA,273,0,0
264,33,blue-collar,married,secondary,NA,58,no,no,0,NA,144,0,0
265,27,management,single,tertiary,cellular,20585,no,no,0,NA,188,2311.46,0
266,50,self-employed,married,secondary,cellular,2061,yes,yes,3,low,197,0,0
267,38,technician,married,secondary,cellular,1448,yes,no,0,NA,415,0,0
268,57,management,married,tertiary,cellular,224,yes,no,0,NA,180,0,0
269,30,blue-collar,married,primary,cellular,5,no,no,1,high,282,258.39,0
270,46,blue-collar,married,primary,cellular,952,yes,no,0,NA,233,0,0
271,34,admin.,divorced,secondary,NA,-220,yes,yes,0,NA,115,0,0
272,35,blue-collar,married,secondary,cellular,1287,yes,no,0,NA,330,0,0
273,39,services,single,secondary,cellular,1163,yes,no,2,NA,432,0,0
274,36,blue-collar,married,secondary,NA,1554,yes,no,0,NA,325,0,0
275,47,admin.,single,secondary,cellular,3696,no,no,0,NA,758,612.02,0
276,32,technician,married,secondary,cellular,79,yes,no,0,NA,417,0,0
277,55,management,divorced,tertiary,cellular,277,no,no,0,NA,101,0,0
278,53,blue-collar,married,secondary,NA,-214,yes,no,0,NA,49,0,0
279,37,blue-collar,married,primary,NA,1104,no,no,0,NA,15,0,0
280,50,admin.,married,primary,telephone,-75,no,yes,0,NA,233,0,0
281,40,services,married,secondary,cellular,879,yes,yes,0,NA,349,0,0
282,38,management,married,tertiary,cellular,-498,no,no,0,NA,85,0,0
283,54,admin.,married,secondary,cellular,0,no,no,0,NA,565,284.92,0
284,33,technician,single,tertiary,cellular,99,no,no,0,NA,296,0,0
285,31,services,married,secondary,cellular,4687,yes,no,0,NA,192,0,0
286,36,management,single,tertiary,cellular,85,no,no,0,NA,76,0,0
287,36,management,married,tertiary,cellular,1434,no,no,0,NA,379,0,0
288,35,management,divorced,tertiary,cellular,808,no,no,0,NA,89,0,0
289,53,technician,married,secondary,NA,384,yes,no,0,NA,176,0,0
290,33,technician,single,secondary,cellular,920,yes,no,0,NA,187,0,0
291,58,blue-collar,married,secondary,NA,1025,yes,no,0,NA,199,0,0
292,34,services,married,secondary,cellular,2825,yes,no,0,NA,198,0,0
293,43,blue-collar,married,secondary,NA,1109,yes,no,0,NA,160,0,0
294,43,unemployed,single,NA,cellular,3274,yes,no,1,low,680,0,0
295,34,management,married,tertiary,cellular,498,yes,no,2,low,84,0,0
296,28,technician,single,tertiary,cellular,426,no,no,1,NA,11,0,0
297,31,housemaid,married,secondary,cellular,3902,yes,no,0,NA,78,0,0
298,30,management,married,tertiary,cellular,877,no,no,3,low,122,0,0
299,60,management,married,secondary,cellular,544,no,no,2,low,95,361.64,0
300,26,self-employed,single,tertiary,cellular,25,no,no,0,NA,158,0,0
301,48,blue-collar,married,secondary,cellular,0,no,no,0,NA,215,0,0
302,47,technician,married,tertiary,NA,282,yes,no,0,NA,433,0,0
303,26,services,married,secondary,NA,549,no,no,0,NA,149,0,0
304,30,blue-collar,divorced,primary,NA,1,yes,no,0,NA,63,0,0
305,34,management,married,tertiary,NA,105,yes,no,0,NA,314,0,0
306,49,technician,married,secondary,NA,4785,no,no,0,NA,160,0,0
307,39,admin.,divorced,secondary,cellular,-328,no,yes,0,NA,16,0,0
308,33,entrepreneur,married,tertiary,cellular,196,yes,no,0,NA,58,0,0
309,46,management,married,tertiary,cellular,182,no,no,0,NA,317,0,0
310,41,blue-collar,married,secondary,cellular,1539,yes,no,3,low,139,0,0
311,27,services,married,secondary,cellular,0,yes,no,0,NA,334,0,0
312,47,blue-collar,married,primary,cellular,3451,no,yes,0,NA,125,0,0
313,49,blue-collar,married,secondary,cellular,-42,no,no,0,NA,585,0,0
314,25,admin.,single,secondary,cellular,425,no,no,0,NA,100,0,0
315,48,technician,single,tertiary,NA,0,no,no,0,NA,73,0,0
316,31,technician,single,secondary,NA,1,yes,no,0,NA,71,0,0
317,31,management,single,tertiary,cellular,18,no,no,0,NA,82,0,0
318,55,blue-collar,married,secondary,NA,-256,yes,yes,0,NA,136,0,0
319,31,technician,divorced,secondary,cellular,0,no,no,0,NA,256,0,0
320,33,technician,married,tertiary,cellular,79,yes,yes,0,NA,390,0,0
321,29,technician,single,tertiary,cellular,2489,yes,no,5,low,355,515.68,0
322,69,retired,divorced,secondary,cellular,344,no,no,0,NA,55,0,0
323,24,management,single,secondary,NA,86,no,no,0,NA,1075,0,0
324,52,blue-collar,single,primary,NA,3421,no,no,0,NA,212,0,0
325,54,admin.,married,secondary,cellular,865,yes,no,0,NA,71,0,0
326,35,technician,married,tertiary,NA,1526,yes,no,0,NA,138,0,0
327,55,management,married,tertiary,cellular,926,yes,no,0,NA,309,0,0
328,52,management,married,NA,cellular,414,yes,no,0,NA,424,0,0
329,29,management,married,secondary,NA,-559,yes,yes,0,NA,485,0,0
330,44,blue-collar,married,NA,cellular,1529,yes,no,0,NA,347,562.24,0
331,41,management,married,tertiary,NA,4357,yes,no,0,NA,110,0,0
332,30,management,single,tertiary,cellular,3392,yes,no,0,NA,194,0,0
333,44,blue-collar,married,primary,NA,23,yes,no,0,NA,135,0,0
334,43,housemaid,married,primary,cellular,1283,no,no,0,NA,448,0,0
335,42,technician,divorced,secondary,cellular,12584,no,no,0,NA,21,0,0
336,42,admin.,single,primary,NA,629,yes,no,0,NA,164,0,0
337,52,blue-collar,married,secondary,cellular,223,no,no,0,NA,81,0,0
338,34,blue-collar,single,primary,NA,359,yes,no,0,NA,154,0,0
339,34,management,single,tertiary,cellular,2561,no,no,0,NA,554,0,0
340,39,services,single,secondary,NA,-106,no,no,0,NA,60,0,0
341,27,student,single,tertiary,cellular,524,no,no,0,NA,496,0,0
342,30,technician,single,tertiary,cellular,3,yes,no,2,low,45,0,0
343,42,services,married,secondary,cellular,0,yes,no,0,NA,431,0,0
344,37,self-employed,married,tertiary,NA,0,no,yes,0,NA,202,0,0
345,27,admin.,single,secondary,cellular,-34,no,yes,0,NA,171,0,0
346,57,blue-collar,married,secondary,cellular,1521,yes,yes,5,low,102,0,0
347,43,blue-collar,married,primary,cellular,-98,yes,yes,3,NA,112,0,0
348,56,management,married,tertiary,cellular,-762,yes,yes,0,NA,348,0,0
349,68,retired,married,secondary,cellular,445,no,no,0,NA,475,348.51,0
350,21,blue-collar,single,secondary,cellular,1385,yes,no,0,NA,12,0,0
351,57,services,single,secondary,NA,1430,yes,no,0,NA,666,0,0
352,48,technician,married,secondary,cellular,2688,no,yes,0,NA,610,0,0
353,39,management,single,tertiary,cellular,5976,no,no,0,NA,113,0,0
354,58,entrepreneur,married,secondary,cellular,496,no,no,0,NA,132,340.11,0
355,48,management,married,tertiary,NA,6613,no,no,0,NA,159,0,0
356,42,management,married,secondary,cellular,1018,no,no,0,NA,305,0,0
357,30,management,married,tertiary,NA,0,yes,no,0,NA,175,0,0
358,28,blue-collar,single,secondary,NA,6307,yes,no,0,NA,615,0,0
359,60,retired,divorced,tertiary,cellular,-134,no,no,4,low,243,0,0
360,29,technician,single,secondary,cellular,5763,no,yes,2,high,271,0,0
361,31,blue-collar,single,secondary,cellular,-190,yes,no,0,NA,127,0,0
362,57,management,married,secondary,cellular,39,yes,no,0,NA,114,0,0
363,57,retired,married,secondary,NA,91,no,yes,0,NA,256,0,0
364,25,admin.,single,secondary,NA,4590,yes,no,0,NA,199,0,0
365,61,retired,married,tertiary,cellular,2557,yes,no,5,high,158,756.39,0
366,46,technician,divorced,tertiary,cellular,0,no,no,0,NA,1199,249.35,0
367,53,retired,married,secondary,NA,340,yes,no,0,NA,138,0,0
368,40,student,single,secondary,cellular,595,yes,no,0,NA,406,309.67,0
369,46,management,divorced,secondary,NA,16,yes,yes,0,NA,188,0,0
370,23,student,single,tertiary,cellular,82,no,no,0,NA,289,0,0
371,40,management,divorced,tertiary,cellular,3426,no,no,0,NA,94,0,0
372,56,management,married,primary,cellular,17,yes,no,0,NA,123,0,0
373,27,admin.,married,secondary,cellular,0,yes,no,0,NA,837,251.11,0
374,36,management,married,tertiary,cellular,203,no,no,0,NA,139,294.29,0
375,29,management,single,tertiary,cellular,2389,no,no,0,NA,277,0,0
376,78,retired,divorced,NA,telephone,2628,no,no,0,NA,129,0,0
377,34,self-employed,married,tertiary,cellular,0,no,no,0,NA,117,0,0
378,39,blue-collar,single,secondary,NA,29,yes,no,0,NA,214,0,0
379,29,student,single,tertiary,cellular,795,no,no,0,NA,258,0,0
380,51,services,married,secondary,cellular,867,yes,no,3,low,177,0,0
381,29,unemployed,single,secondary,cellular,2424,no,no,0,NA,93,0,0
382,37,student,married,NA,NA,0,no,no,0,NA,115,0,0
383,40,blue-collar,married,primary,cellular,533,yes,no,0,NA,675,0,0
384,36,technician,married,secondary,cellular,287,no,no,0,NA,381,0,0
385,48,management,married,tertiary,NA,618,no,no,0,NA,149,0,0
